"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid","avatarThumbnail"
"mauu kaa, essay","0","0","2025-09-02T07:09:12.000Z","salmonsambalbawang","https://www.tiktok.com/@nadaikaa/video/7538096529605709112","7024407352850367490","7545385423876801298","https://p19-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/dd38178e516c3cb9538a32d05071f56f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2670db10&x-expires=1756951200&x-signature=ZBCB1WhFTDK4WGu6kaci2V5SDwE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Kakk pleasee boleh spill essay nya?😃","0","0","2025-08-31T07:26:17.000Z","jsc_ne","https://www.tiktok.com/@nadaikaa/video/7538096529605709112","6901542655542494210","7544647663887729416","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/10333095b87daf95f398118c80df3564~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=6aeeb869&x-expires=1756951200&x-signature=jBWcIQ80d7DISaGhUBFNIIeb7Ok%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"mauu kakk 😻😻😻😻😻😻","0","0","2025-08-31T07:03:42.000Z","syaaffqah","https://www.tiktok.com/@nadaikaa/video/7538096529605709112","7072250468781409281","7544641790554882832","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/ce0a3cddffcbd4b0f59477f761761808~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=70be01c3&x-expires=1756951200&x-signature=mmaTVn8MkDPyGNT9HObLLuHcnPE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"kakk mau template esayy kak🥺","0","0","2025-08-31T16:23:39.000Z","nayalifa2","https://www.tiktok.com/@nadaikaa/video/7538096529605709112","7400231043117794310","7544786136934810375","https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/649c95b359fa19e214bf0c51e8ee94c0~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=3ad9a62e&x-expires=1756951200&x-signature=3rlk53UYaF5hYC9dfe4P5mJdiWc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"kakkk mauuu liat essay nya
mau tanya kak di beasiswa nya ada batas umurnya ga ya","1","0","2025-09-01T12:39:53.000Z","alankabut29.26","https://www.tiktok.com/@nadaikaa/video/7538096529605709112","7188712223202657307","7545099537158996752","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/62a3369e3bff35f8e621a185e03e5da6~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=963a5d00&x-expires=1756951200&x-signature=yt5XqJXJLrXcNKz5KsQh19FQKMQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"mauuu template nya kakk","0","0","2025-08-30T01:26:25.000Z","suyevon","https://www.tiktok.com/@nadaikaa/video/7538096529605709112","6815503081721529345","7544183811094397704","https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/c64ec2b6c6c2c20a248f99973da5c87a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=37f14c68&x-expires=1756951200&x-signature=vtAtkiQO9RbVs4jzBMwGPdUbTr0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"essay","0","0","2025-08-30T15:28:19.000Z","pumpkinmuffinsss","https://www.tiktok.com/@nadaikaa/video/7538096529605709112","6934271777855144961","7544400774697583377","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/083c1e18df2066305f9330c602fda1a8~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4a01f1d3&x-expires=1756951200&x-signature=Suy1VFHBo3kovWKxRi99HXKbrqs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"mauu template essay-nya kakk","0","0","2025-08-29T03:13:51.000Z","hrjnmv33","https://www.tiktok.com/@nadaikaa/video/7538096529605709112","6900004392440660993","7543840439091266312","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/35e60508baf448e3db17f8adc25b392f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5793c6de&x-expires=1756951200&x-signature=l%2BTWyGJV0fLV3DOpSF6XqztR00A%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"bagii kak","0","0","2025-08-30T14:48:02.000Z","pacarrkieyy","https://www.tiktok.com/@nadaikaa/video/7538096529605709112","6632602840739151874","7544390416499229458","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/22ec15b5a39510b69c013a0b65462c42~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=db435fe0&x-expires=1756951200&x-signature=keJbGNmlQrKraDVyPmDNy3lzalU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"kaaaaa spilll essay nya plissss‼️‼️✨✨✨","0","0","2025-08-30T09:38:45.000Z","arshaa29_","https://www.tiktok.com/@nadaikaa/video/7538096529605709112","6969164275915244546","7544310695278986000","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/008e56804fbad48567b993735e96ae00~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8b6a25ae&x-expires=1756951200&x-signature=y6Rrps80axshAaUcPYu2Uq2w8cQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"mau kakk","0","0","2025-08-29T12:22:42.000Z","everyonewantstobelieve","https://www.tiktok.com/@nadaikaa/video/7538096529605709112","6785112057828246530","7543981870968259346","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/304fdc99aaeab2ea4199efb504f8701b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=0a9d546f&x-expires=1756951200&x-signature=vEbFJ%2Fq7OdBgiOIDFsxGARG6IyU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"mau kak","0","0","2025-08-27T11:43:27.000Z","kamsjourneys","https://www.tiktok.com/@nadaikaa/video/7538096529605709112","6850804253632676865","7543229571556082450","https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/1830a8849768bf74f7f68602b7b98d18~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2ac99e6a&x-expires=1756951200&x-signature=U5WkxPEBseyGSbxsQEkk1ZK%2BvQ0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"mauuu template nyaa kak🤍","0","0","2025-08-30T03:31:22.000Z","lloeccie","https://www.tiktok.com/@nadaikaa/video/7538096529605709112","7012891467329553410","7544216026960216850","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/78ec89568f76a97ab95624a0af2d81fa~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a15712d9&x-expires=1756951200&x-signature=n8uE2Vx6efGlPXpTf%2FGAw%2F2TQyM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"kak mau template essay nya","0","0","2025-08-31T00:09:51.000Z","123guainiguys","https://www.tiktok.com/@nadaikaa/video/7538096529605709112","6902045000298595329","7544535166870487826","https://p19-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/3a1b5b1fceab19d4cb6763a20beb2787~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ccad9c58&x-expires=1756951200&x-signature=tW9Ha%2FbUS9B8g90Ho3uZbI2OkGg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Halo ka, if you dont mind boleh ga ya share soal itv yseali ini? thanks a lot ka🙏🏻","6","0","2025-08-14T19:38:44.000Z","tokkicotton","https://www.tiktok.com/@nadaikaa/video/7538096529605709112","7057573380770038786","7538527942570902290","https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/2d35071196c4c8d3eb2bbf1d63069822~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c109a26a&x-expires=1756951200&x-signature=3oT7Y%2BBcDwA%2BOdR6aq8qZLMpntQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"mau kak, please","0","0","2025-08-29T15:40:15.000Z","boruren","https://www.tiktok.com/@nadaikaa/video/7538096529605709112","6855856370786731010","7544032785724687122","https://p16-common-sign-useast2a.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/3d432f4458db0ce1841ccc1e58ad5bec~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=50995530&x-expires=1756951200&x-signature=nDjaFnPqw6RfOX3GJPKOTd6Xewk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"essay","0","0","2025-09-01T02:21:10.000Z","penel0pe02","https://www.tiktok.com/@nadaikaa/video/7538096529605709112","6521219604931510273","7544940062036804353","https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/123f880b4cc0737e5d56045ae3218666~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b68243ca&x-expires=1756951200&x-signature=TVwbYTVgX8KUrV3Xp%2B1HjAnxmJE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"ka mau tanya, kamu pake agen atau mandiri ya?","0","0","2025-08-29T11:40:27.000Z","ssal0v_3","https://www.tiktok.com/@nadaikaa/video/7538096529605709112","6880367832140874754","7543970982014403346","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/3fabf2ec24a402cfdd9715ac8941213e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=869426a5&x-expires=1756951200&x-signature=U6LgVkwVgHPwYT8LnAFtgKz1YX8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"mksi ka🥰","0","0","2025-08-29T05:01:49.000Z","mutiaonmission","https://www.tiktok.com/@nadaikaa/video/7538096529605709112","6965700911574778882","7543868262916981511","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/b1a6c19520484eba5c86cd50518dd447~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7f6e3ff4&x-expires=1756951200&x-signature=7SqIuosvnvXOPXSVw8XfJF1t3NA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"ya Allah mampukah lah akuu","8158","21","2025-06-03T06:16:42.000Z","zzahlim12","https://www.tiktok.com/@calandracl/video/7511007318000094520","276341502992072704","7511603138694169352","https://p16-common-sign-useast2a.tiktokcdn-us.com/tos-useast2a-avt-0068-euttp/7377007483736293409~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2f7e584d&x-expires=1756951200&x-signature=h0Gp08vBe1NK7VCpZsAMu5dk714%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Lagi pusing tbtb lewat ini, apa aku juga harus nyobaa 😭","5737","21","2025-06-02T11:24:54.000Z","photographerwanita","https://www.tiktok.com/@calandracl/video/7511007318000094520","6813695666272846850","7511311476801684231","https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/e2ab9928cff8a605d836d7135af7142c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ffd171b7&x-expires=1756951200&x-signature=TOPz%2Fj2tn2lwWQR5Bhb3gQzojl8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"apakah ini pertanda kakk 🔥","628",,"2025-06-02T14:12:48.000Z","calandracl","https://www.tiktok.com/@calandracl/video/7511007318000094520","7480913672275477505","7511354750765220625","https://p19-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/965c6d7f1a447fd807a9dc61e3b35353~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=67f0c355&x-expires=1756951200&x-signature=cIpPBaQRnjszrANE8gIS2%2BHDT4k%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Semoga aku segera menyusul ❤️","866","4","2025-06-02T13:23:25.000Z","lilaolshop27","https://www.tiktok.com/@calandracl/video/7511007318000094520","6571303536351838209","7511342019865510663","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/a79f6dfd93ec0c73a48d59c7c9bb3925~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=11e32b0f&x-expires=1756951200&x-signature=j4XZ4eCPt3Jm5UTS0ZSNiAsTwMM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"sounds like ""very soon gona happen to me""","4","0","2025-07-16T12:03:20.000Z","tumblewow","https://www.tiktok.com/@calandracl/video/7511007318000094520","7526858892446286856","7527649139057296136","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/3c4f07c29587655de22c0c2a962804dd~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c8afc435&x-expires=1756951200&x-signature=cC1TnxdtiBjaJS0O2RhJRaZVXys%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Damn my dreams but ielts its f*kin hard learn bismillah july i get band 4,5 in ielts🥹","55","9","2025-06-02T13:00:44.000Z","bukancoganbro","https://www.tiktok.com/@calandracl/video/7511007318000094520","7016197214440162305","7511336175983215381","https://p19-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/6282e6ec46bb7e08ec60a754c1095050~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=97554015&x-expires=1756951200&x-signature=puJWmN9TtQowbCS4INHd81W%2FkEk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"amin 🤲🤲 ayo pasti bisaa","3",,"2025-06-02T14:32:53.000Z","calandracl","https://www.tiktok.com/@calandracl/video/7511007318000094520","7480913672275477505","7511359912490255125","https://p19-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/965c6d7f1a447fd807a9dc61e3b35353~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=67f0c355&x-expires=1756951200&x-signature=cIpPBaQRnjszrANE8gIS2%2BHDT4k%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Claim this energy ❤️","22","0","2025-06-03T03:53:41.000Z","dviviiiiiii","https://www.tiktok.com/@calandracl/video/7511007318000094520","7138965356282790914","7511566286955627271","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/2123ddc866016dad262bcba795970914~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=853b63f8&x-expires=1756951200&x-signature=zPA%2FvQujWpzQCBfWC6MBVgT5%2BQw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"My Perth 🇭🇲🫶","1","0","2025-08-26T12:41:16.000Z","rit4kem3sfl3","https://www.tiktok.com/@calandracl/video/7511007318000094520","7057709075622577154","7542872630820389649","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/40c21145d9c87dc79630240232b009f2~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=95279d9f&x-expires=1756951200&x-signature=xYUlTBlxcRKNhcD8PSnDe41azRQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"kaaaakkk ini impian aku banget.. ikutttt🥹","924","4","2025-06-02T14:01:53.000Z","shasaa77","https://www.tiktok.com/@calandracl/video/7511007318000094520","6779594551491052545","7511351924849361681","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/7331920901920784405~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8039e2cb&x-expires=1756951200&x-signature=SwF6mBNQRssXcZK7vxSEfXD3xr4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"@L:Not in Australia, but soon i will leave this country","2","0","2025-06-12T09:15:44.000Z","sunstrikees_","https://www.tiktok.com/@calandracl/video/7511007318000094520","7353796197872026625","7514989028526899976","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/7839de4c75f7bba8780171d0fcce0c2a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8faaf4b6&x-expires=1756951200&x-signature=tnEFgHVVvpSV5sPBJux8P5qZaP4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"nak JUGAK la","1","0","2025-09-01T01:25:33.000Z","pirbentukmanusia","https://www.tiktok.com/@calandracl/video/7511007318000094520","7303753195322590209","7544925777184506631","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/4ee45eefcdc1f86ec50e83cdce29d48a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=df083f54&x-expires=1756951200&x-signature=T6tFZp7doJ5ACpqa7odyxbN2FzI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Udh benerr kamu netap di australia banyk yg ngomong damai dan gada korup disana🤗","8","0","2025-07-24T09:41:42.000Z","meliaputri____","https://www.tiktok.com/@calandracl/video/7511007318000094520","7034119353173066754","7530581315365143304","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/ec00c1da73c4da65367c6387ca86b012~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=bb4e9260&x-expires=1756951200&x-signature=5Tf%2FCOeb2ZibxpKUeCpAPOOmbO4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"One day✨🥺🙏🏼","1","0","2025-07-19T22:10:57.000Z","llightcy","https://www.tiktok.com/@calandracl/video/7511007318000094520","6759199880201274370","7528918943696732936","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/323f2eacbae7770e3605015cd47afdef~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=507bda6d&x-expires=1756951200&x-signature=XP7DaMgt%2Bpi7mUFX0diDsOKBV6A%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"KAAA IKUTT","1","0","2025-08-06T07:49:46.000Z","fafanumber1","https://www.tiktok.com/@calandracl/video/7511007318000094520","7419491353001821189","7535376558535656213","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/ccbdf577cc8dc0c47c236348ae54380f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=bccbbb07&x-expires=1756951200&x-signature=JL33cxctHqFi4ZLYTgY%2FbGaCdpE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"one day Sydney","1","0","2025-06-04T12:36:15.000Z","ohny_k","https://www.tiktok.com/@calandracl/video/7511007318000094520","7303109774581154817","7512072026792821522","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/50b18227df33d7df62018dc2dc995896~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5de9dfab&x-expires=1756951200&x-signature=EFEfFaROKDfecWuohp8aHqpDHos%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"tunggu aku di 2027 yaa!!!","1","0","2025-08-29T06:54:31.000Z","hyugo.ow_","https://www.tiktok.com/@calandracl/video/7511007318000094520","6876647206339707906","7543897302902866695","https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/513a257dbb5fc6194215b2a72ade5606~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=6ec7ec99&x-expires=1756951200&x-signature=%2BsN39OB15Hn3q86yPCzUJF3yUNg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"take me too, find me on aussie yaAllah 🥺🤲","2","0","2025-06-06T23:29:49.000Z","ana_fahh","https://www.tiktok.com/@calandracl/video/7511007318000094520","7274106151531398149","7512982607869985544","https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/3e34df0f9a116560ca759c68bb0d34c1~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2587f736&x-expires=1756951200&x-signature=ZY%2BLZdSgKvg7z95%2BMwh%2Bw8lKa%2B8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"pertanda bahwa aku harus log out dari indonesia😭","4","0","2025-07-28T01:20:03.000Z","ramarhssaja","https://www.tiktok.com/@calandracl/video/7511007318000094520","7231819580862186522","7531936383561302802","https://p19-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/837bbd7d66abe308d3dd00e01636d406~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=98af33a7&x-expires=1756951200&x-signature=ToDNNhnZVAL1U91CbZGPwQ4JSnA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Bismillah nular","1","0","2025-07-18T21:08:13.000Z","juragannwarteg","https://www.tiktok.com/@calandracl/video/7511007318000094520","7253549629022274562","7528531708120040200","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/2bf917c90af70b4dd868ab0f6a7cd2f8~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=48fb1536&x-expires=1756951200&x-signature=pf%2BHQq1Fsd8lpQ%2FMqzGk1HKKwaM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
